id_cliente,id_ciudad,nombre,apellido,tipo_documento,numero_documento,fecha_nacimiento,direccion,email,telefono,estado
7702,687,leandra anna,malo alba,CE,208864344,1984-12-08,Cl 154 Cr 43I,uraeus@mac.com,+57 322 551 01 83,Activo
5474,156,severo,granados iglesia,CC,502999179,1986-08-12,Cl 79 Cr 114,bhima@me.com,(+57)3271408397,Activo
1764,553,lucho,andreu amat,CE,567977259,1990-04-16,Cl 195 Cr 30,psichel@sbcglobal.net,+573199935841,Activo
5445,951,matias mauricio,castillo barrera,CC,451297548,1996-12-02,Cl 143 Cr 95,tbeck@optonline.net,+57 327 100 59 02,Activo
9717,768,mauricio,guijarro castello,CC,882642463,1984-05-14,Cl 18 Cr 148X,eegsa@yahoo.ca,+57 323 418 15 37,Activo
9015,998,isaura leyre,aviles pelayo,CC,718354524,1987-04-18,Cl 46 Cr 38I Bis,barlow@verizon.net,(+57) 606 681 71 81,Activo
8774,629,soraya,morera lago,CC,936630567,1990-11-27,Cl 23W Cr 66F Bis C,wkrebs@me.com,(+57)3258777273,Activo
6526,740,victoriano,tapia cabanillas,CE,460366691,1981-03-06,Cl 195O Cr 50,dleconte@outlook.com,+57 604 922 91 51,Activo
9028,594,nidia,saez campoy,CC,335695694,1980-04-28,Cl 4T Cr 7ª,flakeg@verizon.net,+573039223065,Activo
3949,477,teofila,villanueva molina,CC,194296487,1987-01-04,Cl 160J Cr 21S,slaff@icloud.com,(+57)3143559139,Activo
6619,374,trini,de alberdi,CC,426664488,1990-12-04,Cl 2ª Cr 39J,uncle@hotmail.com,+57 312 682 95 28,Activo
6975,380,dani,baena,Pasaporte,101192429,1977-10-20,Cl 42 Cr 181X,vsprintf@hotmail.com,(+57)6022864047,Bloqueado
2455,415,angelina,de arregui,CC,92543238,2000-02-21,Cl 172E Cr 68,chinthaka@yahoo.ca,+57 308 439 97 08,Activo
7500,391,samuel,de carranza,CC,92793569,1999-05-16,Cl 23 Cr 10,ntegrity@optonline.net,+576059927812,Activo
5784,978,jacinta,montenegro garces,CC,679617860,1994-03-13,Cl 76 Cr 75W,yangyan@yahoo.ca,+573255729154,Activo
1445,573,lisandro,delgado nadal,CC,70538940,1980-04-18,Cl 195O Cr 47,ilyaz@me.com,(+57) 303 928 04 35,Activo
6773,866,samanta,manjon godoy,CC,590387204,1980-03-03,Cl 8Y Cr 9ª,njpayne@hotmail.com,(+57) 325 303 07 23,Activo
2173,809,albano teodosio,canete rosa,CC,171405051,1981-04-04,Cl 123 Cr 42,ralamosm@gmail.com,(+57) 327 799 25 03,Activo
2665,150,abel,villanueva,CC,609519360,1988-06-12,Cl 20 Cr 90,bartak@sbcglobal.net,+57 601 300 06 31,Activo
4955,669,bienvenida,pulido cozar,CC,368438134,1994-01-21,Cl 3ª Cr 93,improv@me.com,(+57)3059072894,Inactivo
1190,273,patricio,manzano pomares,CE,197404926,1979-07-01,Cl 2ª Cr 23,arnold@live.com,(+57) 313 510 11 80,Bloqueado
9662,275,modesto,de casares,CC,407890328,1975-12-13,Cl 1ª Cr 69,ismail@comcast.net,(+57) 607 360 51 35,Activo
4434,279,berto,del morales,CC,826150761,1987-10-30,Cl 68 Cr 42P,wilsonpm@aol.com,(+57) 315 319 28 79,Inactivo
3123,129,nuria daniela,jauregui tejero,CC,770683339,1979-07-02,Cl 47J Cr 90O,barjam@icloud.com,(+57)3126571753,Activo
6473,231,anastasia,pedrero solera,CC,614472978,1986-08-29,Cl 57 Cr 185,michiel@msn.com,(+57)3175083920,Activo
7527,600,purificacion salome,ferran valero,CC,3767922,1984-09-29,Cl 175O Cr 80,gamma@hotmail.com,(+57)6051230193,Activo
1302,455,melania,cobos lozano,CC,979760670,1989-04-15,Cl 2ª Cr 122,dhrakar@live.com,+573248926443,Activo
5576,391,evangelina,font lago,CC,324146877,1978-03-26,Cl 98 Cr 77,themer@icloud.com,+573103784128,Inactivo
3366,169,otilia,mercader jimenez,CC,970864308,1986-06-21,Cl 63 Cr 155Z,leocharre@me.com,(+57) 606 466 54 83,Activo
3652,315,nadia,reyes bosch,CC,322534220,1997-03-14,Cl 9 Sur Cr 88,kewley@icloud.com,+573060781612,Activo
8459,775,mireia,cordoba pi,CC,380631166,1993-10-21,Cl 114K Cr 37,murdocj@mac.com,(+57) 605 864 34 71,Activo
3203,571,melisa,rueda rosado,CC,570320295,1970-09-28,Cl 80 Cr 4ª,webinc@msn.com,+57 323 917 21 64,Activo
6298,922,trini,sanabria frias,CC,612605685,1989-05-22,Cl 3ª Cr 41,mrsam@yahoo.ca,+57 306 809 42 89,Activo
3981,826,lucia manola,briones jove,CC,583781974,1993-11-28,Cl 37 Cr 198,sassen@aol.com,+57 311 420 31 85,Bloqueado
6089,348,natalio,pereira barrio,CC,892323294,1970-09-19,Cl 67C Cr 2D,emmanuel@att.net,(+57)6038902230,Bloqueado
6312,225,nerea,alcalde sole,CC,860665154,1984-02-03,Cl 90Q Sur Cr 90,naoya@mac.com,+573127408761,Activo
5947,559,gracia,goicoechea alba,CC,925904713,1980-12-10,Cl 65H Este Cr 66F,slanglois@hotmail.com,(+57) 319 370 20 65,Inactivo
6797,310,tono,hidalgo blazquez,CC,682252307,1988-11-24,Cl 1A Bis H Cr 191N,improv@comcast.net,+573274636361,Activo
5194,438,candida,sedano jimenez,CC,12166718,1981-04-16,Cl 131 Cr 5E,noneme@me.com,+573117917554,Activo
4669,691,eutimio,barreda cobos,CC,412414461,1999-05-09,Cl 3ª Cr 2ª,majordick@yahoo.com,+57 606 816 32 93,Inactivo
9098,818,rosario,yuste falcon,CC,326057478,1986-06-24,Cl 183 Cr 65,rgiersig@verizon.net,(+57) 307 551 82 53,Activo
2913,253,encarnacion,espanol ocana,CC,722686390,1985-03-25,Cl 11V Cr 184 Sur,smartfart@aol.com,(+57) 304 202 03 08,Activo
3810,981,magdalena,vilaplana esteve,CC,332652215,1991-09-26,Cl 100 Cr 67,jmgomez@verizon.net,+57 323 103 28 82,Activo
5274,375,adelardo,novoa,CC,960898489,1985-06-12,Cl 39N Cr 52,msherr@yahoo.com,+573297968910,Activo
5569,882,adoracion,rovira zabala,CC,395498195,1977-10-25,Cl 5G Bis A Cr 7ª,keutzer@sbcglobal.net,(+57) 314 446 32 53,Activo
8524,769,ovidio,lamas,CC,804870930,2000-03-09,Cl 30 Cr 8 Este,policies@sbcglobal.net,+573280373234,Activo
1813,992,reyes,julian nogues,CC,676331108,1978-04-07,Cl 1ª Cr 174W,hwestiii@verizon.net,+576022154807,Activo
1955,431,adoracion,jurado clemente,CC,984163757,1976-12-08,Cl 162 Cr 81,hstiles@mac.com,(+57) 306 673 54 85,Inactivo
4426,740,placido,zabala feijoo,CC,761357769,1979-01-19,Cl 27 Cr 4ª,xnormal@gmail.com,(+57)3064409864,Activo
3780,275,abel alex,cueto lopez,CC,356241952,1974-09-07,Cl 157 Cr 8ª,jgmyers@icloud.com,+573067340408,Activo
9669,539,miguela,sanmiguel paz,CC,796173329,1976-04-12,Cl 6H Cr 8ª,oechslin@aol.com,(+57)3024132842,Activo
3503,710,narcisa,villaverde montes,Pasaporte,255053202,1998-11-17,Cl 105Y Cr 8 Este,juerd@outlook.com,+573218569759,Activo
3934,258,leonardo,aller bermudez,CC,187649355,1971-09-16,Cl 42 Cr 69,skippy@icloud.com,+573000421329,Activo
7257,373,javiera,bartolome torrens,CC,669864604,1992-06-15,Cl 159I Cr 106X,meinkej@hotmail.com,+573120819800,Activo
2949,965,maria carmen,de fuster,CC,277283219,1973-08-28,Cl 125N Cr 16,staffelb@aol.com,+576047293099,Activo
7169,764,adan,fonseca marin,CC,595496092,1970-09-16,Cl 6ª Cr 1ª,heckerman@optonline.net,+576083529509,Activo
6275,882,adalberto,de fabra,CC,89553238,1989-12-23,Cl 27 Cr 125,rjones@verizon.net,+57 300 931 22 91,Activo
4696,458,rosalinda,jaume romero,CC,527357496,1985-07-25,Cl 52 Cr 178,parrt@verizon.net,(+57) 300 038 64 50,Activo
8618,541,abigail,enriquez carreras,CC,193097668,1987-04-18,Cl 132F Bis J Cr 74,hampton@icloud.com,+573155352762,Inactivo
5132,869,africa,morcillo,CC,79092539,1999-02-21,Cl 8ª Cr 7L,claypool@comcast.net,+57 320 431 24 63,Activo
8086,179,gilberto,cardenas esparza,CC,683156963,1976-03-16,Cl 8 Bis Cr 141,wsnyder@live.com,(+57)3272114169,Activo
7357,996,marisela,posada jover,CC,450599629,1991-05-21,Cl 3ª Cr 6C Bis,magusnet@aol.com,+576023183362,Activo
2996,169,begona claudia,coello zabaleta,CC,883969874,1971-05-11,Cl 60 Cr 5ª,danneng@optonline.net,(+57) 301 550 30 61,Activo
3170,179,marcos,arregui sainz,CC,496852452,1977-04-10,Cl 5ª Cr 184 Sur,smallpaul@aol.com,+576052745435,Inactivo
4900,683,venceslas,sastre penalver,CC,867996606,1978-09-03,Cl 7ª Cr 132D Bis,staikos@optonline.net,+57 604 192 58 03,Activo
3517,375,febe,amaya,CC,452493390,1980-07-12,Cl 4ª Cr 65,bryam@outlook.com,+573297464878,Activo
2661,365,quirino,granados verdugo,CC,802012250,1992-12-19,Cl 1ª Cr 52,ccohen@optonline.net,+57 317 952 84 38,Activo
7215,136,imelda,de perea,CC,876699650,1977-11-09,Cl 8ª Cr 50,geoffr@aol.com,+57 323 214 01 64,Bloqueado
4420,114,isidora,de crespi,CC,294691607,1980-02-09,Cl 103J Cr 63X,kludge@comcast.net,(+57)6062766743,Activo
7325,421,balduino,martin aguila,CC,997750430,1992-10-22,Cl 2ª Cr 72,frikazoyd@att.net,+57 316 420 98 91,Activo
9581,963,casandra,ramirez canet,CC,537499469,1976-09-18,Cl 5ª Cr 40Y,singer@comcast.net,+573293284366,Activo
7862,421,eustaquio,vigil gil,CC,903928143,1973-03-28,Cl 191X Sur Cr 4M,rogerspl@aol.com,(+57)3100393868,Activo
1967,343,elvira,del espinosa,CC,208081071,2000-04-12,Cl 175 Cr 97Q Sur,danzigism@yahoo.ca,(+57) 312 736 29 24,Bloqueado
1875,738,pia,huertas manzanares,CC,174526489,1972-02-17,Cl 44 Cr 35,empathy@att.net,(+57) 604 676 02 86,Bloqueado
2639,983,alberto,salas baez,CC,439791521,1991-08-19,Cl 63 Cr 72J,jrifkin@mac.com,+57 302 304 16 32,Activo
8119,555,sol,rosales calvo,CC,601222579,1982-08-07,Cl 129 Cr 145,sagal@icloud.com,(+57) 301 943 73 61,Inactivo
5457,185,guiomar,folch sanjuan,CC,467933936,1984-12-08,Cl 19 Avenida Cristian Sebastian Lopez Acosta,durist@sbcglobal.net,+57 318 602 28 33,Activo
6099,653,nidia,pardo nunez,CC,948549318,1989-07-05,Cl 4D Cr 170,msloan@msn.com,(+57) 316 983 88 76,Activo
6119,988,emperatriz sabina,pastor pedrero,CC,987438734,1974-02-03,Cl 39 Cr 148,ilikered@mac.com,+57 311 290 22 56,Activo
4936,712,ximena,jurado mata,CE,746937510,1994-04-09,Cl 62 Cr 95D,tlinden@live.com,(+57)3098047572,Activo
9092,688,eugenio,aranda falcon,CC,226690741,1998-04-05,Cl 56 Cr 98,citizenl@yahoo.ca,(+57) 322 730 60 18,Activo
9753,903,felicia,del palomo,CC,209969658,1985-08-14,Cl 38 Cr 10I Bis U,pajas@yahoo.com,+57 314 507 17 32,Activo
7521,156,abel,uribe cerro,CC,920066,1990-06-16,Cl 2ª Cr 21F Bis,british@me.com,(+57)3080306093,Activo
1415,662,andres,felipe prado infante,CC,672403364,1993-03-22,Cl 189 Cr 33,chaffar@aol.com,(+57) 608 895 48 63,Activo
9376,573,jordi,de perea,CC,818417641,1997-01-02,Cl 2U Este Cr 2ª,parkes@hotmail.com,+57 308 217 06 19,Activo
