ID_PRODUCTO_PASIVO,ID_PRODUCTO_BANCO,ID_CLIENTE,NO_CUENTA,SALDO_ACTUAL,CUOTA_MANEJO,FECHA_APERTURA
23504,1,4957,4093-5500-8670-7697-0052,3093602808.2,7200.0,12-06-01
40359,1,8230,4093-5500-9934-6493-3664,3625328561.77412,7200.0,09-07-24
62127,3,6262,4093-5500-7436-1870-0086,2453790720.23183,22000.0,11-05-15
86349,3,7100,4093-5500-5835-4554-3025,4143124013.4231,22000.0,08-04-16
90320,4,4762,4093-5500-3518-5718-8673,8060354689.70105,3400.0,03-07-18
57483,2,4795,4093-5500-2186-5217-9353,6794256807.939,15600.0,11-09-17
61728,4,6211,4093-5500-9024-4448-6540,8762524302.3985,3400.0,12-02-17
21287,4,3925,4093-5500-7327-8199-8919,9014478898.3413,3400.0,06-11-02
52293,1,1196,4093-5500-3622-9724-8195,8234915162.627,7200.0,25-05-08
65509,2,9779,4093-5500-3979-0585-5593,351191610.62344,15600.0,22-12-22
42901,4,5188,4093-5500-5603-1453-3669,9653397706.49348,3400.0,06-01-10
18172,1,4680,4093-5500-5015-3592-9572,8908460313.9899,7200.0,13-03-15
61756,1,3816,4093-5500-7380-7054-6193,7108506072.4,7200.0,06-02-22
79510,3,3938,4093-5500-7256-9744-6944,1408940783.135,22000.0,08-08-18
10224,1,7370,4093-5500-3472-2252-5040,7460936119.694,7200.0,22-01-15
85339,2,2665,4093-5500-9578-7607-9687,2156329421.6,15600.0,14-06-10
59815,1,9015,4093-5500-0323-6171-0879,284786215.60299,7200.0,22-01-20
44212,4,1415,4093-5500-9529-2029-9007,3123831015.685,3400.0,12-11-21
38508,1,2768,4093-5500-8113-7000-7884,3167575427.15,7200.0,19-03-14
61861,2,7348,4093-5500-7971-2819-7862,9435098230.20259,15600.0,01-09-09
66553,4,7536,4093-5500-0265-5087-0500,1673385849.6,3400.0,16-07-04
99882,2,5713,4093-5500-6946-2237-7402,4175748035.8,15600.0,13-01-15
60736,3,7556,4093-5500-6404-0205-3584,7311330908.48,22000.0,24-08-19
64887,2,6655,4093-5500-9760-1057-1203,4150168756.923,15600.0,12-02-04
73796,2,9235,4093-5500-6833-6600-3214,4391571651.7,15600.0,12-09-12
10859,2,9478,4093-5500-5715-1357-1393,6688391922.308,15600.0,21-10-25
68360,4,3566,4093-5500-3957-2277-6870,9307375850.69,3400.0,05-01-16
41033,4,1256,4093-5500-0929-2953-5681,7140666986.17,3400.0,05-06-24
33957,1,5848,4093-5500-6007-6307-0613,7535943742.89502,7200.0,17-08-15
96460,3,8341,4093-5500-6404-7491-5474,2606780804.25645,22000.0,25-09-18
76616,3,1344,4093-5500-8443-0708-2464,3449997102.3527,22000.0,08-08-21
61057,1,4085,4093-5500-2540-5414-0097,6432078974.88924,7200.0,16-12-23
43705,2,2165,4093-5500-2957-5711-9652,5927650575.205,15600.0,19-01-13
73748,2,1706,4093-5500-5858-1773-1981,6199389020.23458,15600.0,17-12-01
58867,3,8341,4093-5500-2894-9024-0552,8625105322.9042,22000.0,22-03-18
59068,4,4919,4093-5500-0229-1550-4547,9969889846.861,3400.0,21-08-01
59419,4,2462,4093-5500-3367-0775-1609,8287750730.741,3400.0,27-02-24
49919,1,9693,4093-5500-4978-7961-9363,6640722913.133,7200.0,04-12-22
98068,2,3441,4093-5500-6479-5710-3414,5789462106.6,15600.0,12-07-25
55575,1,2771,4093-5500-3467-4003-3486,775107318.8198,7200.0,06-02-10
13745,3,6977,4093-5500-3680-9588-3779,8552282097.0,22000.0,14-04-01
67566,2,3086,4093-5500-9913-5427-2916,5717917972.1,15600.0,25-04-06
98423,2,1967,4093-5500-8053-0263-9183,6503580466.6,15600.0,17-10-16
46875,3,7256,4093-5500-1547-1408-8379,2011049307.23788,22000.0,31-12-04
15439,4,7795,4093-5500-5708-2783-9732,5872315148.149,3400.0,18-11-04
59695,1,5906,4093-5500-5782-7274-6679,1484129212.695,7200.0,13-04-25
85109,3,8454,4093-5500-3638-5162-2767,5522568519.4,22000.0,16-06-17
65513,2,4714,4093-5500-7898-8742-2469,4021621593.57,15600.0,05-12-13
81778,3,4420,4093-5500-6225-4646-8866,1052240573.3527,22000.0,01-10-15
62398,2,8908,4093-5500-9482-4855-0930,9697004848.82,15600.0,31-01-21
62870,3,1043,4093-5500-1298-1485-5098,1156155490.6,22000.0,31-12-14
35348,2,9215,4093-5500-6052-9026-4757,2591395450.413,15600.0,02-06-18
81884,3,3206,4093-5500-7459-6310-5429,5481895651.317,22000.0,07-02-20
29801,1,5382,4093-5500-7095-5238-2719,1995850988.3655,7200.0,09-03-19
33240,2,7904,4093-5500-2013-9988-7365,5307482463.53,15600.0,16-10-02
65977,3,5529,4093-5500-2066-2347-7246,5472419864.561,22000.0,21-10-08
45735,2,6119,4093-5500-6057-3690-6983,2116472003.488,15600.0,02-03-08
56821,2,4868,4093-5500-2935-8137-6749,7910664127.733,15600.0,10-02-04
59207,2,9911,4093-5500-0498-2314-4555,2257090853.27925,15600.0,13-08-03
27491,2,4446,4093-5500-0149-0418-1495,2933822658.368,15600.0,08-03-04
82217,3,8285,4093-5500-7404-5485-8697,2829613727.3025,22000.0,17-06-11
14692,3,2659,4093-5500-0587-7073-0189,7869676892.61,22000.0,10-03-20
40614,4,2920,4093-5500-9703-6349-0751,9716877532.37,3400.0,15-06-07
39725,1,6215,4093-5500-8518-4696-3520,1519459643.7908,7200.0,23-08-16
81068,3,2140,4093-5500-4567-4671-3036,3203104455.9,22000.0,13-03-26
71196,2,5079,4093-5500-9623-4291-3456,4299313435.90368,15600.0,28-11-09
91650,1,1756,4093-5500-9576-1175-6099,3001518676.4145,7200.0,31-12-19
60137,1,1282,4093-5500-0151-6643-4709,4287185602.32605,7200.0,03-09-20
71808,1,6610,4093-5500-0690-6891-0096,6434673342.8,7200.0,29-04-13
92728,2,2609,4093-5500-6089-5845-6433,417657621.566,15600.0,15-03-06
15148,3,3244,4093-5500-8439-8671-1682,7672125100.7477,22000.0,03-05-10
24059,2,5875,4093-5500-1521-8608-6753,2368685002.8267,15600.0,24-11-09
74431,3,4085,4093-5500-7760-9085-6225,2189563049.5,22000.0,04-12-11
60017,1,2258,4093-5500-6676-3309-6265,6162414802.1,7200.0,16-01-11
53605,2,2146,4093-5500-4002-8204-5260,7674309473.2639,15600.0,02-07-19
36988,4,6799,4093-5500-2303-0654-0660,1462543905.713,3400.0,29-12-14
55615,4,9911,4093-5500-3501-6505-8707,3682382121.85,3400.0,26-12-15
63858,3,7492,4093-5500-1240-4973-5977,1675541347.38415,22000.0,25-07-25
35942,3,4814,4093-5500-8595-3318-5882,363664256.32,22000.0,16-01-09
11394,1,2741,4093-5500-5216-1095-9848,5972471.47,7200.0,31-03-13
19812,4,6584,4093-5500-0507-0901-3186,3518950651.9358,3400.0,29-10-13
70097,1,4027,4093-5500-4360-8120-9286,7554645805.88,7200.0,19-10-12
92946,1,5419,4093-5500-1844-0677-1151,5206159486.62244,7200.0,02-11-15
90767,3,3741,4093-5500-3169-1180-5092,1925596314.33511,22000.0,03-12-04
86546,2,4420,4093-5500-6549-6738-2801,9893661110.6927,15600.0,19-10-10
78571,4,8776,4093-5500-6477-7564-5209,4965723156.3463,3400.0,01-05-13
25325,1,3893,4093-5500-6049-0202-4360,9587698323.64,7200.0,02-11-17
30862,2,1560,4093-5500-0680-5110-5804,2058171997.445,15600.0,01-09-21
68998,3,8400,4093-5500-3280-4863-5176,8107936012.87,22000.0,31-07-11
55545,2,7397,4093-5500-1007-1070-0546,5671588871.7,15600.0,30-06-25
53200,3,3221,4093-5500-1822-3021-7014,9097970676.75699,22000.0,26-02-04
14265,4,8230,4093-5500-9571-7787-2162,6828881966.922,3400.0,05-06-02
62370,4,9745,4093-5500-0021-9757-3440,7763190608.444,3400.0,17-10-21
60067,3,4950,4093-5500-5446-3648-6082,3746502878.893,22000.0,13-08-24
55766,3,1399,4093-5500-1466-8501-7960,3213507994.98241,22000.0,22-05-16
86766,4,1194,4093-5500-5891-0257-3968,1683023350.1,3400.0,26-04-16
93701,4,6468,4093-5500-1118-5547-8530,3596753984.4,3400.0,12-04-24
91818,4,1512,4093-5500-4139-6392-2089,2722424974.64,3400.0,05-02-26
32184,4,8914,4093-5500-4957-0559-8196,8426287757.697,3400.0,15-06-01
37188,2,2808,4093-5500-4780-3955-8185,4829560517.8598,15600.0,24-10-20
